player_id,team_id,jersey_no,player_name,posi_to_play,dt_of_bir,age,playing_club
160030,1202,17,Florian Klein,DF,11/17/86,29,Stuttgart
160042,1202,18,Alessandro Schopf,MF,2/7/94,22,Schalke
160044,1202,19,Lukas Hinterseer,FD,3/28/91,25,Ingolstadt
160041,1202,20,Marcel Sabitzer,MF,3/17/94,22,Leipzig
160045,1202,21,Marc Janko,FD,6/25/83,32,Basel
160039,1202,22,Jakob Jantscher,MF,1/8/89,27,Luzern
160026,1202,23,Ramazan Ozcan,GK,6/28/84,31,Ingolstadt
160047,1203,1,Thibaut Courtois,GK,5/11/92,24,Chelsea
160050,1203,2,Toby Alderweireld,DF,3/2/89,27,Tottenham
160056,1203,3,Thomas Vermaelen,DF,11/14/85,30,Barcelona
160063,1203,4,Radja Nainggolan,MF,5/4/88,28,Roma
160057,1203,5,Jan Vertonghen,DF,4/24/87,29,Tottenham
160064,1203,6,Axel Witsel,MF,1/12/89,27,Zenit
160059,1203,7,Kevin De Bruyne,MF,6/28/91,24,Man. City
160061,1203,8,Marouane Fellaini,MF,11/22/87,28,Man. United
160067,1203,9,Romelu Lukaku,FD,5/13/93,23,Everton
160062,1203,10,Eden Hazard,MF,1/7/91,25,Chelsea
160058,1203,11,Yannick Carrasco,MF,9/4/93,22,Atletico
160049,1203,12,Simon Mignolet,GK,8/6/88,27,Liverpool
160048,1203,13,Jean-Francois Gillet,GK,5/31/79,37,Mechelen
160068,1203,14,Dries Mertens,FD,5/6/87,29,Napoli
160052,1203,15,Jason Denayer,DF,6/28/95,20,Galatasaray
160055,1203,16,Thomas Meunier,DF,9/12/91,24,Club Brugge
160069,1203,17,Divock Origi,FD,4/18/95,21,Liverpool
160053,1203,18,Christian Kabasele,DF,2/24/91,25,Genk
160060,1203,19,Mousa Dembele,MF,7/16/87,28,Tottenham
160066,1203,20,Christian Benteke,FD,12/3/90,25,Liverpool
160054,1203,21,Jordan Lukaku,DF,7/25/94,21,Oostende
160065,1203,22,Michy Batshuayi,FD,10/2/93,22,Marseille
160051,1203,23,Laurent Ciman,DF,8/5/85,30,Montreal
160072,1204,1,Ivan Vargic,GK,3/15/87,29,Rijeka
160079,1204,2,Sime Vrsaljko,DF,1/10/92,24,Sassuolo
160077,1204,3,Ivan Strinic,DF,7/17/87,28,Napoli
160085,1204,4,Ivan PeriSic,MF,2/2/89,27,Internazionale
160073,1204,5,Vedran Corluka,DF,2/5/86,30,Lokomotiv Moskva
160074,1204,6,Tin Jedvaj,DF,11/28/95,20,Leverkusen
160086,1204,7,Ivan Rakitic,MF,3/10/88,28,Barcelona
160083,1204,8,Mateo Kovacic,MF,5/6/94,22,Real Madrid
160090,1204,9,Andrej Kramaric,FD,6/19/91,24,Hoffenheim
160084,1204,10,Luka Modric,MF,9/9/85,30,Real Madrid
160076,1204,11,Darijo Srna,DF,5/1/82,34,Shakhtar Donetsk
160070,1204,12,Lovre Kalinic,GK,4/3/90,26,Hajduk Split
160075,1204,13,Gordon Schildenfeld,DF,3/18/85,31,Dinamo Zagreb
160081,1204,14,Marcelo Brozovic,MF,11/16/92,23,Internazionale
160087,1204,15,Marko Rog,MF,7/19/95,20,Dinamo Zagreb
160089,1204,16,Nikola Kalinic,FD,1/5/88,28,Fiorentina
160091,1204,17,Mario Mandzukic,FD,5/21/86,30,Juventus
160082,1204,18,Ante Coric,MF,4/14/97,19,Dinamo Zagreb
160080,1204,19,Milan Badelj,MF,2/25/89,27,Fiorentina
160092,1204,20,Marko Pjaca,FD,5/6/95,21,Dinamo Zagreb
160078,1204,21,Domagoj Vida,DF,4/29/89,27,Dynamo Kyiv
160088,1204,22,Duje Cop,FD,2/1/90,26,Malaga
160071,1204,23,Danijel SubaSic,GK,10/27/84,31,Monaco
160093,1205,1,Petr Cech,GK,5/20/82,34,Arsenal
160098,1205,2,Pavel Kaderabek,DF,4/25/92,24,Hoffenheim
160099,1205,3,Michal Kadlec,DF,12/13/84,31,Fenerbahce
160096,1205,4,Theodor Gebre Selassie,DF,12/24/86,29,Bremen
160097,1205,5,Roman Hubnik,DF,6/6/84,32,Plzen
160101,1205,6,TomasSivok,DF,9/15/83,32,Bursaspor
160114,1205,7,TomasNecid,FD,8/13/89,26,Bursaspor
160100,1205,8,David Limbersky,DF,10/6/83,32,Plzen
160104,1205,9,Borek Dockal,MF,9/30/88,27,Sparta Praha
160110,1205,10,TomasRosicky,MF,10/4/80,35,Arsenal
160109,1205,11,Daniel Pudil,MF,9/27/85,30,Sheff. Wednesday
160115,1205,12,Milan Skoda,FD,1/16/86,30,Slavia Praha
160108,1205,13,Jaroslav PlaSil,MF,1/5/82,34,Bordeaux
160105,1205,14,Daniel Kolar,MF,10/27/85,30,Plzen
160107,1205,15,David Pavelka,MF,5/18/91,25,Kasimpasa
160095,1205,16,TomasVaclik,GK,3/29/89,27,Basel
160102,1205,17,Marek Suchy,DF,3/29/88,28,Basel
160112,1205,18,Josef Sural,MF,5/30/90,26,Sparta Praha
160106,1205,19,Ladislav Krejci,MF,7/5/92,23,Sparta Praha
160111,1205,20,Jiri Skalak,MF,3/12/92,24,Brighton
160113,1205,21,David Lafata,FD,9/18/81,34,Sparta Praha
160103,1205,22,Vladimir Darida,MF,8/8/90,25,Hertha
160094,1205,23,TomasKoubek,GK,8/26/92,23,Liberec
160117,1206,1,Joe Hart,GK,4/19/87,29,Man. City
160125,1206,2,Kyle Walker,DF,5/28/90,26,Tottenham
160122,1206,3,Danny Rose,DF,7/2/90,25,Tottenham
160131,1206,4,James Milner,MF,1/4/86,30,Liverpool
160120,1206,5,Gary Cahill,DF,12/19/85,30,Chelsea
160123,1206,6,Chris Smalling,DF,11/22/89,26,Man. United
160132,1206,7,Raheem Sterling,MF,12/8/94,21,Man. City
160130,1206,8,Adam Lallana,MF,5/10/88,28,Liverpool
160134,1206,9,Harry Kane,FD,7/28/93,22,Tottenham
160136,1206,10,Wayne Rooney,FD,10/24/85,30,Man. United
160138,1206,11,Jamie Vardy,FD,1/11/87,29,Leicester
160121,1206,12,Nathaniel Clyne,DF,4/5/91,25,Liverpool
160116,1206,13,Fraser Forster,GK,3/17/88,28,Southampton
160129,1206,14,Jordan Henderson,MF,6/17/90,26,Liverpool
160137,1206,15,Daniel Sturridge,FD,9/1/89,26,Liverpool
160124,1206,16,John Stones,DF,5/28/94,22,Everton
160128,1206,17,Eric Dier,MF,1/15/94,22,Tottenham
160133,1206,18,Jack Wilshere,MF,1/1/92,24,Arsenal
160127,1206,19,Ross Barkley,MF,12/5/93,22,Everton
160126,1206,20,Dele Alli,MF,4/11/96,20,Tottenham
160119,1206,21,Ryan Bertrand,DF,8/5/89,26,Southampton
160135,1206,22,Marcus Rashford,FD,10/31/97,18,Man. United
160118,1206,23,Tom Heaton,GK,4/15/86,30,Burnley
160140,1207,1,Hugo Lloris,GK,12/26/86,29,Tottenham
160144,1207,2,Christophe Jallet,DF,10/31/83,32,Lyon
160143,1207,3,Patrice Evra,DF,5/15/81,35,Juventus
160147,1207,4,Adil Rami,DF,12/27/85,30,Sevilla
160152,1207,5,NGolo Kante,MF,3/29/91,25,Leicester
160150,1207,6,Yohan Cabaye,MF,1/14/86,30,Crystal Palace
160160,1207,7,Antoine Griezmann,FD,3/21/91,25,Atletico
160154,1207,8,Dimitri Payet,MF,3/29/87,29,West Ham
160159,1207,9,Olivier Giroud,FD,9/30/86,29,Arsenal
160158,1207,10,Andre-Pierre Gignac,FD,12/5/85,30,Tigres
160161,1207,11,Anthony Martial,FD,12/5/95,20,Man. United
160156,1207,12,Morgan Schneiderlin,MF,11/8/89,26,Man. United
160146,1207,13,Eliaquim Mangala,DF,2/13/91,25,Man. City
160153,1207,14,Blaise Matuidi,MF,4/9/87,29,Paris
160155,1207,15,Paul Pogba,MF,3/15/93,23,Juventus
160141,1207,16,Steve Mandanda,GK,3/28/85,31,Marseille
160142,1207,17,Lucas Digne,DF,7/20/93,22,Roma
160157,1207,18,Moussa Sissoko,MF,8/16/89,26,Newcastle
160148,1207,19,Bacary Sagna,DF,2/14/83,33,Man. City
160151,1207,20,Kingsley Coman,MF,6/13/96,20,Bayern
160145,1207,21,Laurent Koscielny,DF,9/10/85,30,Arsenal
160149,1207,22,Samuel Umtiti,DF,11/14/93,22,Lyon
160139,1207,23,Benoit Costil,GK,7/3/87,28,Rennes
160163,1208,1,Manuel Neuer,GK,3/27/86,30,Bayern
160170,1208,2,Shkodran Mustafi,DF,4/17/92,24,Valencia
160166,1208,3,Jonas Hector,DF,5/27/90,26,Koln
160167,1208,4,Benedikt Howedes,DF,2/29/88,28,Schalke
160168,1208,5,Mats Hummels,DF,12/16/88,27,Dortmund
160175,1208,6,Sami Khedira,MF,4/4/87,29,Juventus
160180,1208,7,Bastian Schweinsteiger,MF,8/1/84,31,Man. United
160177,1208,8,Mesut ozil,MF,10/15/88,27,Arsenal
160179,1208,9,Andre Schurrle,MF,11/6/90,25,Wolfsburg
160184,1208,10,Lukas Podolski,FD,6/4/85,31,Galatasaray
160173,1208,11,Julian Draxler,MF,9/20/93,22,Wolfsburg
160162,1208,12,Bernd Leno,GK,3/4/92,24,Leverkusen
160183,1208,13,Thomas Muller,FD,9/13/89,26,Bayern
160172,1208,14,Emre Can,MF,1/12/94,22,Liverpool
160181,1208,15,Julian Weigl,MF,9/8/95,20,Dortmund
160171,1208,16,Jonathan Tah,DF,2/11/96,20,Leverkusen
160165,1208,17,Jerome Boateng,DF,9/3/88,27,Bayern
160176,1208,18,Toni Kroos,MF,1/4/90,26,Real Madrid
160174,1208,19,Mario Gotze,MF,6/3/92,24,Bayern
160178,1208,20,Leroy Sane,MF,1/11/96,20,Schalke
160169,1208,21,Joshua Kimmich,DF,2/8/95,21,Bayern
160164,1208,22,Marc-Andre ter Stegen,GK,4/30/92,24,Barcelona
160182,1208,23,Mario Gomez,FD,7/10/85,30,Besiktas
160187,1209,1,Gabor Kiraly,GK,4/1/76,40,Haladas
160194,1209,2,Adam Lang,DF,1/17/93,23,Videoton
160193,1209,3,Mihaly Korhut,DF,12/1/88,27,Debrecen
160192,1209,4,Tamas Kadar,DF,3/14/90,26,Lech
160189,1209,5,Attila Fiola,DF,2/17/90,26,Puskas Akademia
160196,1209,6,Akos Elek,MF,7/21/88,27,Diosgyor
160202,1209,7,Balazs Dzsudzsak,FD,12/23/86,29,Bursaspor
160199,1209,8,Adam Nagy,MF,6/17/95,21,Ferencvaros
160207,1209,9,Adam Szalai,FD,12/9/87,28,Hannover
160203,1209,10,Zoltan Gera,FD,4/22/79,37,Ferencvaros
160204,1209,11,Krisztian Nemeth,FD,1/5/89,27,Al-Gharafa
160185,1209,12,Denes Dibusz,GK,11/16/90,25,Ferencvaros
